Estacion,Dia_Semana,Hora_Dia,Clima,Torniquetes_Activos,Retraso_Operativo_Min,Pasajeros_Hora,Tiempo_Espera_Min,Nivel_Congestion
Bilbao,Domingo,6,Soleado,6,0,417,3.3,Baja
Bilbao,Lunes,11,Nublado,6,5,515,9.9,Media
Plaza de Espana,Sabado,15,Soleado,7,0,263,3.3,Baja
Goya,Martes,15,Tormenta,5,0,576,7.4,Media
Lago,Jueves,9,Nublado,2,0,1086,7.1,Media
Atocha,Domingo,7,Tormenta,7,0,636,5.7,Media
Opera,Sabado,5,Soleado,7,10,326,13.5,Alta
Quevedo,Jueves,5,Soleado,6,0,696,2.1,Media
Bilbao,Viernes,16,Soleado,2,0,483,2.3,Baja
Retiro,Domingo,9,Nublado,9,0,587,2.1,Baja
Principe Pio,Sabado,19,Tormenta,6,5,391,10.3,Alta
Sol,Domingo,10,Soleado,3,0,532,2.7,Baja
Callao,Domingo,5,Lluvia,3,0,627,4.9,Media
Quevedo,Sabado,6,Tormenta,10,0,585,5.1,Media
Sol,Domingo,18,Soleado,8,0,315,5.0,Baja
Gran Via,Lunes,20,Nublado,7,0,457,4.4,Baja
Retiro,Miercoles,16,Soleado,4,0,576,3.3,Baja
Quevedo,Jueves,13,Tormenta,2,0,416,7.0,Media
Anton Martin,Sabado,13,Lluvia,2,0,364,6.8,Media
Callao,Sabado,18,Tormenta,9,0,280,5.9,Media
Lago,Lunes,5,Nublado,5,0,503,4.0,Baja
Sevilla,Sabado,18,Lluvia,10,10,513,16.0,Alta
Callao,Viernes,12,Nublado,6,0,355,2.2,Baja
Goya,Sabado,13,Soleado,2,0,403,2.1,Baja
Lago,Viernes,10,Lluvia,3,0,413,6.0,Media
Lago,Sabado,12,Tormenta,9,0,168,7.6,Media
Anton Martin,Viernes,16,Tormenta,8,0,333,7.0,Media
Sol,Sabado,14,Nublado,3,0,570,3.9,Baja
Banco de Espana,Lunes,15,Nublado,9,0,630,2.3,Media
Callao,Sabado,8,Lluvia,8,0,440,7.4,Media
Principe de Vergara,Jueves,14,Nublado,10,5,454,9.6,Media
Plaza de Espana,Domingo,10,Lluvia,5,5,150,11.7,Alta
Alonso Martinez,Domingo,16,Soleado,8,0,274,2.2,Baja
Alonso Martinez,Viernes,13,Lluvia,9,0,536,5.1,Media
Plaza de Espana,Martes,12,Lluvia,6,0,219,4.9,Baja
Lago,Jueves,16,Soleado,10,0,232,3.8,Baja
Sol,Viernes,11,Soleado,10,0,371,2.2,Baja
Plaza de Espana,Sabado,5,Lluvia,3,0,624,6.6,Media
Banco de Espana,Sabado,10,Nublado,2,0,489,3.6,Baja
Opera,Sabado,14,Tormenta,5,0,643,7.6,Media
Noviciado,Domingo,9,Soleado,2,0,564,4.0,Baja
Embajadores,Viernes,7,Nublado,5,0,704,4.7,Media
Lago,Martes,17,Nublado,9,0,1650,3.7,Alta
Alonso Martinez,Domingo,19,Nublado,2,0,734,4.6,Media
Principe de Vergara,Jueves,18,Tormenta,7,5,921,11.1,Alta
Noviciado,Miercoles,10,Soleado,9,0,543,4.4,Baja
Anton Martin,Martes,20,Soleado,9,5,343,7.3,Media
Gran Via,Sabado,12,Nublado,8,0,339,4.3,Baja
Goya,Viernes,23,Lluvia,3,0,386,7.9,Media
Goya,Miercoles,16,Soleado,10,0,512,2.8,Baja
Plaza de Espana,Martes,16,Nublado,4,0,386,4.4,Baja
Plaza de Espana,Sabado,5,Lluvia,10,0,612,6.4,Media
Banco de Espana,Miercoles,5,Nublado,9,0,483,4.6,Baja
Banco de Espana,Domingo,23,Lluvia,2,0,205,4.8,Baja
Callao,Domingo,10,Lluvia,5,0,388,6.6,Media
Goya,Domingo,10,Lluvia,4,0,240,4.9,Baja
Goya,Sabado,8,Soleado,2,0,440,3.1,Baja
Plaza de Espana,Domingo,18,Soleado,9,0,689,3.9,Media
Opera,Miercoles,7,Soleado,8,0,1652,2.2,Alta
Opera,Lunes,15,Lluvia,2,0,357,5.5,Media
Sevilla,Domingo,16,Tormenta,2,10,488,15.5,Alta
Banco de Espana,Sabado,7,Nublado,3,0,455,3.6,Baja
Atocha,Viernes,23,Soleado,6,5,507,9.8,Media
Tribunal,Jueves,15,Tormenta,5,0,138,7.6,Media
Gran Via,Lunes,8,Lluvia,9,0,1839,4.3,Alta
Tribunal,Martes,15,Lluvia,9,0,772,6.7,Media
Gran Via,Domingo,16,Lluvia,5,0,434,6.9,Media
Alonso Martinez,Miercoles,19,Nublado,9,10,1615,12.3,Alta
Tribunal,Jueves,17,Tormenta,5,0,865,4.2,Media
Quevedo,Lunes,15,Nublado,3,5,466,9.9,Media
Atocha,Martes,5,Lluvia,6,20,553,26.4,Alta
Tribunal,Sabado,10,Lluvia,5,0,518,4.2,Baja
Lago,Miercoles,19,Nublado,8,10,1377,13.0,Alta
Quevedo,Lunes,6,Soleado,2,0,308,2.6,Baja
Sevilla,Lunes,20,Nublado,3,0,217,3.8,Baja
Banco de Espana,Lunes,21,Tormenta,10,0,616,7.8,Media
Quevedo,Sabado,9,Soleado,4,5,222,8.7,Media
Tribunal,Sabado,7,Lluvia,6,0,378,6.1,Media
Callao,Sabado,9,Soleado,8,0,563,3.6,Baja
Tribunal,Sabado,11,Nublado,5,0,501,4.1,Baja
Lago,Jueves,9,Nublado,7,0,1272,3.0,Alta
Sol,Lunes,19,Nublado,8,0,1398,4.9,Alta
Tribunal,Martes,10,Nublado,9,0,436,4.7,Baja
Goya,Sabado,18,Nublado,2,0,270,2.7,Baja
Banco de Espana,Viernes,21,Lluvia,3,0,545,7.1,Media
Atocha,Miercoles,11,Tormenta,5,0,417,7.2,Media
Alonso Martinez,Lunes,23,Lluvia,8,10,420,15.2,Alta
Principe Pio,Lunes,9,Lluvia,4,0,1380,11.1,Alta
Gran Via,Domingo,21,Soleado,3,0,637,3.2,Media
Principe Pio,Domingo,8,Soleado,4,10,304,12.5,Alta
Atocha,Domingo,8,Soleado,2,0,248,4.8,Baja
Banco de Espana,Lunes,6,Nublado,6,0,553,2.5,Baja
Principe Pio,Miercoles,14,Nublado,4,0,211,5.0,Baja
Opera,Jueves,17,Nublado,10,0,1211,4.4,Alta
Banco de Espana,Sabado,11,Nublado,2,0,584,4.8,Baja
Tribunal,Jueves,20,Tormenta,8,0,520,8.7,Media
Opera,Martes,11,Nublado,6,0,278,2.5,Baja
Banco de Espana,Jueves,20,Nublado,7,0,606,4.6,Media
Atocha,Domingo,19,Tormenta,7,5,690,10.6,Alta
Quevedo,Jueves,5,Soleado,9,0,307,4.0,Baja
Quevedo,Viernes,15,Lluvia,10,0,427,5.9,Media
Tribunal,Miercoles,7,Tormenta,7,0,824,4.7,Media
Atocha,Domingo,10,Nublado,4,0,524,3.8,Baja
Noviciado,Domingo,12,Tormenta,3,0,665,6.6,Media
Gran Via,Viernes,9,Lluvia,9,10,1213,16.9,Alta
Sevilla,Jueves,16,Soleado,7,0,419,3.4,Baja
Gran Via,Viernes,16,Soleado,10,0,269,4.3,Baja
Lago,Viernes,23,Nublado,7,0,227,4.0,Baja
Sevilla,Martes,17,Lluvia,4,0,1268,7.7,Alta
Principe Pio,Lunes,14,Nublado,3,0,403,3.1,Baja
Callao,Sabado,15,Soleado,7,0,325,3.8,Baja
Principe Pio,Miercoles,12,Nublado,7,0,160,3.2,Baja
Lago,Martes,21,Soleado,2,0,390,3.7,Baja
Banco de Espana,Miercoles,10,Lluvia,7,0,695,6.5,Media
Callao,Sabado,16,Soleado,9,0,490,3.3,Baja
Banco de Espana,Lunes,15,Tormenta,7,0,461,6.7,Media
Embajadores,Martes,9,Nublado,3,0,918,6.4,Media
Banco de Espana,Lunes,5,Tormenta,10,0,508,6.1,Media
Lago,Jueves,23,Nublado,4,10,592,12.4,Alta
Atocha,Lunes,9,Tormenta,8,0,1633,5.8,Alta
Retiro,Miercoles,23,Lluvia,10,0,178,7.8,Media
Retiro,Jueves,21,Tormenta,5,0,206,5.7,Media
Tribunal,Miercoles,19,Nublado,10,10,1713,12.7,Alta
Embajadores,Viernes,20,Soleado,9,0,581,2.7,Baja
Plaza de Espana,Domingo,18,Lluvia,6,0,347,5.5,Media
Principe de Vergara,Martes,5,Nublado,4,0,311,4.2,Baja
Bilbao,Jueves,9,Nublado,5,0,1433,4.5,Alta
Callao,Viernes,8,Lluvia,6,5,1231,8.7,Alta
Lago,Jueves,12,Nublado,2,0,687,2.1,Media
Quevedo,Miercoles,21,Lluvia,5,5,515,12.0,Alta
Noviciado,Jueves,19,Tormenta,6,0,1021,5.6,Media
Bilbao,Martes,19,Tormenta,6,0,1653,4.2,Alta
Sevilla,Miercoles,14,Tormenta,10,0,357,3.8,Baja
Lago,Sabado,17,Nublado,10,5,531,7.9,Media
Gran Via,Domingo,21,Tormenta,10,0,323,6.1,Media
Alonso Martinez,Lunes,12,Soleado,9,0,301,3.2,Baja
Sol,Sabado,19,Lluvia,3,0,386,7.9,Media
Opera,Domingo,14,Tormenta,9,0,587,7.1,Media
Plaza de Espana,Martes,17,Soleado,7,0,1539,2.4,Alta
Retiro,Viernes,8,Tormenta,8,0,1581,7.6,Alta
Atocha,Jueves,5,Tormenta,8,0,498,7.2,Media
Callao,Lunes,6,Soleado,7,0,508,4.5,Baja
Gran Via,Domingo,8,Nublado,5,0,647,4.1,Media
Principe Pio,Domingo,10,Nublado,2,0,221,4.8,Baja
Atocha,Domingo,6,Lluvia,4,0,583,8.7,Media
Goya,Jueves,20,Lluvia,2,0,329,5.8,Media
Principe de Vergara,Lunes,10,Soleado,4,0,656,4.6,Media
Principe de Vergara,Sabado,22,Tormenta,3,0,625,5.5,Media
Banco de Espana,Martes,11,Soleado,10,0,456,3.8,Baja
Bilbao,Viernes,11,Nublado,10,0,337,4.0,Baja
Opera,Miercoles,23,Soleado,10,0,288,4.7,Baja
Lago,Viernes,12,Nublado,2,5,628,8.5,Media
Tribunal,Lunes,22,Tormenta,5,0,684,3.7,Media
Plaza de Espana,Domingo,22,Lluvia,10,10,717,16.7,Alta
Tribunal,Viernes,23,Soleado,2,0,294,4.0,Baja
Sevilla,Sabado,13,Tormenta,9,0,395,6.0,Media
Bilbao,Martes,6,Tormenta,3,5,472,11.5,Alta
Sol,Martes,18,Lluvia,7,0,1265,6.1,Alta
Lago,Lunes,18,Soleado,7,0,1647,3.6,Alta
Lago,Martes,22,Soleado,4,0,692,4.5,Media
Quevedo,Jueves,20,Tormenta,10,0,382,5.8,Media
Lago,Domingo,12,Lluvia,8,0,549,7.0,Media
Alonso Martinez,Domingo,14,Nublado,9,0,757,4.4,Media
Goya,Miercoles,12,Tormenta,5,5,525,11.6,Alta
Embajadores,Viernes,11,Tormenta,3,0,438,6.3,Media
Callao,Lunes,5,Tormenta,3,0,441,6.3,Media
Opera,Sabado,23,Soleado,10,0,580,3.5,Baja
Tribunal,Lunes,11,Soleado,4,0,685,3.2,Media
Sol,Jueves,18,Soleado,3,0,1753,5.2,Alta
Bilbao,Viernes,14,Soleado,10,0,501,2.9,Baja
Principe Pio,Jueves,14,Lluvia,2,0,284,6.2,Media
Tribunal,Lunes,9,Nublado,5,0,1074,4.5,Media
Sol,Lunes,21,Lluvia,7,0,394,6.3,Media
Sevilla,Miercoles,18,Lluvia,8,0,738,4.3,Media
Bilbao,Domingo,12,Tormenta,4,0,481,6.8,Media
Noviciado,Sabado,20,Soleado,4,0,231,2.9,Baja
Goya,Viernes,14,Soleado,5,0,309,2.5,Baja
Gran Via,Domingo,14,Tormenta,3,0,486,6.9,Media
Gran Via,Miercoles,20,Nublado,6,0,485,2.8,Baja
Bilbao,Martes,15,Nublado,4,5,610,9.5,Media
Opera,Jueves,7,Soleado,8,0,1182,4.0,Media
Plaza de Espana,Miercoles,23,Tormenta,10,0,614,5.2,Media
Sol,Sabado,19,Tormenta,4,0,538,6.1,Media
Embajadores,Martes,14,Soleado,9,5,472,8.9,Media
Quevedo,Martes,16,Tormenta,5,0,532,7.4,Media
Retiro,Sabado,20,Nublado,3,0,342,4.2,Baja
Atocha,Viernes,13,Soleado,2,0,369,3.6,Baja
Gran Via,Domingo,20,Soleado,6,0,363,2.7,Baja
Opera,Miercoles,13,Lluvia,4,0,561,8.5,Media
Alonso Martinez,Domingo,15,Soleado,2,0,501,2.3,Baja
Sol,Lunes,19,Tormenta,5,0,1652,8.2,Alta
Embajadores,Domingo,7,Tormenta,7,0,469,5.8,Media
Anton Martin,Lunes,18,Lluvia,2,0,1821,8.2,Alta
Quevedo,Lunes,8,Lluvia,8,0,1090,7.4,Media
Alonso Martinez,Domingo,20,Lluvia,3,10,656,17.7,Alta
Banco de Espana,Miercoles,20,Tormenta,4,0,270,5.9,Media
Noviciado,Lunes,10,Lluvia,6,5,492,12.5,Alta
Noviciado,Domingo,15,Nublado,2,0,573,4.3,Baja
Opera,Martes,23,Tormenta,3,0,533,7.7,Media
Tribunal,Domingo,19,Soleado,9,0,470,5.0,Baja
Tribunal,Viernes,7,Lluvia,5,0,1089,4.1,Media
Callao,Jueves,17,Lluvia,9,0,1500,5.9,Alta
Embajadores,Sabado,11,Nublado,4,0,431,3.2,Baja
Gran Via,Sabado,12,Tormenta,2,0,463,5.7,Media
Sol,Martes,22,Tormenta,10,0,300,6.8,Media
Principe de Vergara,Sabado,15,Tormenta,3,0,363,5.4,Media
Alonso Martinez,Lunes,15,Nublado,2,0,669,4.5,Media
Retiro,Miercoles,10,Tormenta,7,0,420,5.7,Media
Quevedo,Jueves,5,Soleado,7,0,515,3.4,Baja
Goya,Lunes,16,Soleado,6,0,536,2.4,Baja
Gran Via,Domingo,23,Soleado,9,0,498,4.5,Baja
Retiro,Domingo,17,Lluvia,5,0,477,7.4,Media
Anton Martin,Jueves,21,Lluvia,4,10,286,14.3,Alta
Atocha,Miercoles,9,Nublado,10,10,1547,14.4,Alta
Embajadores,Lunes,16,Nublado,4,10,318,13.2,Alta
Principe de Vergara,Miercoles,6,Lluvia,6,0,372,5.9,Media
Principe de Vergara,Martes,21,Tormenta,8,5,382,10.6,Alta
Tribunal,Lunes,11,Tormenta,10,0,451,7.4,Media
Banco de Espana,Miercoles,14,Nublado,3,0,693,4.7,Media
Sol,Sabado,5,Lluvia,2,0,273,6.2,Media
Principe de Vergara,Domingo,8,Tormenta,7,0,446,6.6,Media
Plaza de Espana,Sabado,20,Nublado,6,0,669,3.8,Media
Atocha,Martes,9,Soleado,6,20,1197,23.3,Alta
Bilbao,Sabado,10,Soleado,5,0,448,4.0,Baja
Anton Martin,Sabado,5,Soleado,9,10,262,14.6,Alta
Bilbao,Lunes,23,Tormenta,10,0,597,7.1,Media
Banco de Espana,Miercoles,19,Lluvia,3,0,1353,11.8,Alta
Sol,Jueves,13,Nublado,10,0,611,3.5,Media
Lago,Viernes,23,Nublado,5,0,279,3.3,Baja
Anton Martin,Viernes,9,Tormenta,3,0,1488,10.3,Alta
Sevilla,Jueves,11,Soleado,8,0,664,3.6,Media
Noviciado,Miercoles,17,Soleado,10,0,906,4.7,Media
Plaza de Espana,Lunes,21,Nublado,7,0,639,3.0,Media
Gran Via,Lunes,22,Soleado,6,0,336,4.3,Baja
Principe de Vergara,Miercoles,9,Lluvia,6,0,1223,5.5,Alta
Quevedo,Domingo,21,Nublado,7,20,191,22.4,Alta
Bilbao,Jueves,14,Nublado,6,0,731,2.3,Media
Embajadores,Domingo,8,Soleado,6,0,399,2.5,Baja
Banco de Espana,Domingo,7,Soleado,9,0,597,3.6,Baja
Banco de Espana,Jueves,23,Lluvia,2,5,447,11.0,Alta
Callao,Viernes,23,Tormenta,5,0,269,5.3,Media
Principe de Vergara,Jueves,10,Lluvia,2,0,370,3.5,Baja
Atocha,Domingo,11,Nublado,4,0,299,3.8,Baja
Sol,Domingo,23,Lluvia,8,0,629,7.4,Media
Quevedo,Miercoles,9,Nublado,6,0,965,2.3,Media
Retiro,Domingo,11,Lluvia,3,20,464,27.5,Alta
Anton Martin,Viernes,19,Nublado,8,0,1008,2.1,Media
Opera,Martes,21,Soleado,5,0,207,2.4,Baja
Tribunal,Jueves,20,Nublado,5,0,432,2.6,Baja
Principe de Vergara,Lunes,9,Tormenta,9,10,1402,15.3,Alta
Bilbao,Miercoles,22,Tormenta,2,20,660,25.1,Alta
Goya,Domingo,5,Lluvia,10,20,524,26.3,Alta
Quevedo,Miercoles,11,Lluvia,2,0,457,5.3,Media
Quevedo,Sabado,22,Soleado,5,0,461,2.3,Baja
Goya,Jueves,6,Lluvia,2,0,652,8.5,Media
Quevedo,Martes,13,Tormenta,5,0,263,5.5,Media
Principe Pio,Martes,19,Tormenta,6,0,1697,7.4,Alta
Alonso Martinez,Domingo,15,Lluvia,9,0,594,6.5,Media
Goya,Martes,14,Nublado,5,0,460,3.8,Baja
Retiro,Viernes,8,Tormenta,3,0,1086,10.5,Alta
Goya,Sabado,8,Lluvia,5,0,338,7.1,Media
Tribunal,Jueves,16,Lluvia,4,10,354,15.9,Alta
Retiro,Lunes,17,Soleado,10,0,1748,4.4,Alta
Goya,Viernes,6,Nublado,9,0,290,2.9,Baja
Embajadores,Miercoles,15,Lluvia,2,5,264,11.4,Alta
Sol,Miercoles,16,Lluvia,10,0,459,4.8,Baja
Quevedo,Sabado,7,Lluvia,3,0,681,3.7,Media
Goya,Miercoles,16,Soleado,2,0,538,3.8,Baja
Banco de Espana,Domingo,12,Lluvia,5,0,547,6.2,Media
Gran Via,Sabado,13,Tormenta,7,5,388,11.5,Alta
Alonso Martinez,Jueves,23,Lluvia,4,5,387,9.6,Media
Goya,Viernes,13,Lluvia,10,0,498,4.7,Baja
Sevilla,Miercoles,18,Soleado,8,0,1102,2.5,Media
Gran Via,Jueves,22,Nublado,3,0,341,2.3,Baja
Atocha,Martes,8,Lluvia,8,0,860,5.5,Media
Principe de Vergara,Lunes,14,Soleado,8,0,548,3.4,Baja
Quevedo,Miercoles,14,Soleado,6,0,204,2.1,Baja
Principe Pio,Viernes,16,Soleado,9,0,398,4.2,Baja
Goya,Viernes,9,Tormenta,4,0,1451,8.9,Alta
Bilbao,Jueves,6,Nublado,2,0,266,4.2,Baja
Gran Via,Domingo,13,Lluvia,10,0,228,7.0,Media
Plaza de Espana,Sabado,16,Soleado,10,0,497,2.8,Baja
Sol,Viernes,5,Lluvia,6,0,582,6.6,Media
Alonso Martinez,Viernes,8,Lluvia,8,10,1266,14.1,Alta
Sol,Lunes,19,Soleado,6,20,1693,23.5,Alta
Banco de Espana,Lunes,5,Lluvia,2,0,328,6.5,Media
Tribunal,Miercoles,13,Soleado,2,0,776,2.5,Media
Embajadores,Jueves,15,Nublado,2,0,548,2.0,Baja
Principe de Vergara,Domingo,5,Nublado,4,0,250,2.8,Baja
Tribunal,Lunes,6,Lluvia,4,0,317,7.3,Media
Bilbao,Viernes,21,Nublado,7,0,415,4.3,Baja
Anton Martin,Martes,7,Soleado,5,0,1347,3.2,Alta
Atocha,Miercoles,18,Tormenta,5,0,1156,7.2,Media
Sol,Miercoles,12,Tormenta,6,0,517,7.5,Media
Banco de Espana,Miercoles,13,Nublado,8,0,478,4.0,Baja
Atocha,Viernes,22,Soleado,2,0,372,4.1,Baja
Atocha,Martes,10,Tormenta,4,10,601,14.0,Alta
Quevedo,Domingo,22,Lluvia,6,0,429,5.3,Media
Gran Via,Lunes,15,Lluvia,5,0,524,3.9,Baja
Goya,Jueves,23,Lluvia,8,0,229,5.2,Media
Callao,Jueves,22,Lluvia,2,0,290,6.4,Media
Bilbao,Viernes,23,Tormenta,10,0,519,3.7,Baja
Opera,Sabado,19,Lluvia,10,0,310,6.0,Media
Goya,Lunes,19,Tormenta,7,10,1360,16.2,Alta
Goya,Domingo,21,Lluvia,4,0,466,3.4,Baja
Retiro,Martes,5,Nublado,5,0,633,4.9,Media
Alonso Martinez,Miercoles,14,Lluvia,9,0,221,7.7,Media
Principe de Vergara,Lunes,14,Lluvia,9,0,636,5.9,Media
Sol,Martes,19,Nublado,7,0,883,3.2,Media
Lago,Jueves,19,Soleado,9,0,859,2.9,Media
Lago,Miercoles,7,Tormenta,7,0,624,5.8,Media
Bilbao,Viernes,16,Lluvia,5,0,292,4.3,Baja
Embajadores,Martes,17,Soleado,6,10,1208,12.5,Alta
Gran Via,Jueves,18,Nublado,6,0,992,2.7,Media
Alonso Martinez,Sabado,11,Soleado,4,0,329,2.6,Baja
Sevilla,Martes,17,Soleado,10,0,1040,4.4,Media
Lago,Lunes,6,Soleado,4,5,491,8.7,Media
Sol,Jueves,8,Soleado,6,0,1118,3.0,Media
Atocha,Martes,14,Nublado,2,0,449,4.1,Baja
Retiro,Lunes,18,Soleado,10,0,955,2.9,Media
Plaza de Espana,Viernes,9,Tormenta,5,5,1080,9.5,Media
Quevedo,Sabado,18,Tormenta,9,0,214,7.6,Media
Alonso Martinez,Sabado,16,Soleado,4,0,461,4.6,Baja
Tribunal,Sabado,9,Tormenta,4,0,363,6.6,Media
Lago,Martes,12,Nublado,6,0,500,2.5,Baja
Gran Via,Lunes,14,Lluvia,6,0,241,7.5,Media
Noviciado,Jueves,19,Soleado,2,0,947,7.3,Media
Quevedo,Sabado,21,Tormenta,4,0,572,6.9,Media
Banco de Espana,Martes,18,Nublado,10,5,1042,7.7,Media
Tribunal,Jueves,16,Tormenta,4,20,403,25.3,Alta
Alonso Martinez,Sabado,22,Lluvia,8,0,368,5.0,Baja
Gran Via,Lunes,16,Tormenta,4,0,200,6.0,Media
Anton Martin,Domingo,11,Nublado,8,20,343,23.5,Alta
Principe Pio,Jueves,20,Soleado,3,5,501,9.5,Media
Goya,Martes,5,Lluvia,6,20,529,27.9,Alta
Quevedo,Viernes,22,Tormenta,9,0,470,5.4,Media
Anton Martin,Domingo,21,Nublado,9,0,526,4.7,Baja
Bilbao,Miercoles,21,Nublado,5,0,234,3.9,Baja
Tribunal,Domingo,14,Tormenta,2,10,592,15.8,Alta
Quevedo,Jueves,17,Nublado,7,20,1299,22.4,Alta
Sevilla,Lunes,23,Tormenta,8,0,428,5.4,Media
Opera,Sabado,20,Nublado,2,0,740,4.7,Media
Goya,Jueves,16,Lluvia,9,0,346,6.9,Media
Lago,Lunes,17,Nublado,5,0,1385,4.3,Alta
Tribunal,Sabado,10,Soleado,4,0,510,4.0,Baja
Bilbao,Viernes,16,Nublado,3,0,511,3.3,Baja
Gran Via,Martes,18,Lluvia,5,0,1503,6.2,Alta
Goya,Lunes,16,Soleado,2,0,313,3.7,Baja
Gran Via,Jueves,14,Tormenta,4,0,529,8.1,Media
Tribunal,Martes,5,Tormenta,2,0,329,5.8,Media
Lago,Viernes,7,Tormenta,9,10,1265,15.8,Alta
Noviciado,Martes,6,Soleado,7,0,547,3.9,Baja
Bilbao,Martes,16,Nublado,6,20,430,23.1,Alta
Quevedo,Sabado,7,Tormenta,2,0,776,5.2,Media
Anton Martin,Jueves,19,Nublado,2,0,1456,5.6,Alta
Banco de Espana,Lunes,9,Lluvia,4,0,1589,10.4,Alta
Alonso Martinez,Sabado,12,Lluvia,9,0,498,5.2,Media
Goya,Domingo,5,Lluvia,3,0,742,6.6,Media
Goya,Martes,8,Tormenta,7,0,1101,6.4,Media
Plaza de Espana,Martes,23,Lluvia,2,0,484,6.3,Media
Opera,Miercoles,11,Tormenta,5,10,328,16.2,Alta
Alonso Martinez,Domingo,19,Tormenta,5,5,323,11.5,Alta
Gran Via,Sabado,6,Soleado,3,0,333,2.3,Baja
Callao,Martes,5,Tormenta,2,0,579,3.6,Baja
Callao,Sabado,11,Lluvia,2,0,632,5.8,Media
Gran Via,Sabado,19,Tormenta,6,5,330,9.9,Media
Sol,Miercoles,14,Tormenta,9,0,516,7.5,Media
Gran Via,Viernes,5,Nublado,6,0,487,2.9,Baja
Embajadores,Sabado,22,Nublado,5,0,499,3.3,Baja
Quevedo,Domingo,12,Lluvia,4,5,713,10.2,Alta
Embajadores,Viernes,13,Lluvia,8,0,424,4.2,Baja
Atocha,Miercoles,18,Soleado,5,0,816,2.1,Media
Tribunal,Martes,6,Lluvia,4,0,461,3.1,Baja
Noviciado,Sabado,17,Soleado,4,0,401,3.3,Baja
Retiro,Sabado,15,Lluvia,4,0,432,5.4,Media
Plaza de Espana,Sabado,8,Tormenta,7,0,455,6.6,Media
Tribunal,Sabado,22,Nublado,7,0,277,4.7,Baja
Anton Martin,Domingo,20,Lluvia,2,0,281,4.2,Baja
Sevilla,Lunes,18,Soleado,2,0,1615,8.6,Alta
Gran Via,Jueves,9,Tormenta,3,0,857,11.4,Alta
